keyword,post_count,degree,strength,betweenness,closeness,clustering,community
riscaldamento globale,638,15,111,0.4,0.3404255319148936,0.006822795437084027,0
co2,967,11,385,0.19583333333333333,0.3137254901960784,0.01699906260240631,1
emissioni,1276,10,408,0.041666666666666664,0.25806451612903225,0.02113550549207455,1
deforestazione,154,7,14,0.3819444444444445,0.36363636363636365,0.0043478378389525014,0
transizione verde,82,5,19,0.0,0.21052631578947367,0.016901162256942208,0
catastrofe,982,5,11,0.061111111111111116,0.2857142857142857,0.010872340182974425,0
energia pulita,141,5,33,0.023611111111111107,0.26666666666666666,0.02524689528482347,1
disinformazione,1005,5,17,0.04166666666666666,0.25806451612903225,0.008601382104745196,0
energia rinnovabile,146,5,20,0.07361111111111111,0.2857142857142857,0.018219077218472796,1
estinzione,588,5,13,0.1638888888888889,0.3018867924528302,0.007207039447344253,0
effetto serra,38,4,40,0.0,0.23529411764705882,0.04190951299935913,1
desertificazione,137,3,10,0.0,0.21052631578947367,0.011900747714522255,0
eventi meteorologici estremi,40,2,4,0.0,0.26229508196721313,0.006389776357827476,0
antropogenico,18,2,12,0.0,0.1322314049586777,0.03135207326059351,0
scioglimento dei ghiacciai,19,2,4,0.008333333333333331,0.22535211267605634,0.016899592564518236,0
perdita di biodiversità,11,1,2,0.0,0.21621621621621623,0.0,0
innalzamento del livello del mare,13,1,1,0.0,0.25806451612903225,0.0,0
